name,code,share,continent
Africa,FFF,7.98931654,Africa
Albania,ALB,0.159782247,Europe
Algeria,DZA,0.589509708,Africa
Angola,AGO,0.087803663,Africa
Antigua and Barbuda,ATG,0.000204195,North America
Argentina,ARG,0.422376457,South America
Asia,ABB,80.99356991,Asia
Australia,AUS,0.003267113,Oceania
Bahamas,BHS,0.002041946,North America
Bahrain,BHR,0,Asia
Bangladesh,BGD,2.515677038,Asia
Barbados,BRB,0.004594378,North America
Belgium,BEL,0.003471308,Europe
Belize,BLZ,0.038184384,North America
Benin,BEN,0.167337446,Africa
Bosnia and Herzegovina,BIH,0.000612584,Europe
Brazil,BRA,3.859175176,South America
Brunei,BRN,0.013681036,Asia
Bulgaria,BGR,0.000714681,Europe
Burkina Faso,BFA,0,Africa
Cambodia,KHM,0.113634275,Asia
Cameroon,CMR,1.0894801,Africa
Canada,CAN,0.024299153,North America
Cape Verde,CPV,0,Africa
Chile,CHL,0.032875325,South America
China,CHN,7.218992545,Asia
Colombia,COL,0.044003929,South America
Comoros,COM,0,Africa
Congo,COG,0.069017763,Africa
Costa Rica,CRI,0.045943777,North America
Cote d'Ivoire,CIV,0.488433399,Africa
Croatia,HRV,0.022869791,Europe
Cyprus,CYP,0.000306292,Asia
Democratic Republic of Congo,COD,0.042880859,Africa
Denmark,DNK,0.000918876,Europe
Djibouti,DJI,0.000408389,Africa
Dominica,DMA,0.005411156,North America
Dominican Republic,DOM,0.640762544,North America
EU-27,EEE,0.220223838,Europe
East Timor,TLS,0.072999557,Asia
Ecuador,ECU,0.115982513,South America
Egypt,EGY,0.252282385,Africa
El Salvador,SLV,0.082494604,North America
Equatorial Guinea,GNQ,0.041349399,Africa
Eritrea,ERI,0.00490067,Africa
Estonia,EST,0.001225167,Europe
Europe,EEE,0.595431351,Europe
Fiji,FJI,0.037265508,Oceania
Finland,FIN,0,Europe
France,FRA,0.023992861,Europe
French Guiana,GUF,0.000714681,South America
Gabon,GAB,0.045433291,Africa
Gambia,GMB,0.042982956,Africa
Georgia,GEO,0.000306292,Asia
Germany,DEU,0.013681036,Europe
Ghana,GHA,0.427277127,Africa
Greece,GRC,0.022053013,Europe
Grenada,GRD,0.013272647,North America
Guadeloupe,GLP,0.000408389,North America
Guatemala,GTM,0.729178791,North America
Guinea,GIN,0.239622322,Africa
Guinea-Bissau,GNB,0.025218029,Africa
Guyana,GUY,0.127213214,South America
Haiti,HTI,0.70743207,North America
Honduras,HND,0.24870898,North America
Hong Kong,HKG,0.011434896,Asia
Iceland,ISL,0,Europe
India,IND,12.91663349,Asia
Indonesia,IDN,5.751446208,Asia
Iran,IRN,0.094746278,Asia
Iraq,IRQ,0.006840518,Asia
Ireland,IRL,0.011741187,Europe
Israel,ISR,0.00336921,Asia
Italy,ITA,0.042268275,Europe
Jamaica,JAM,0.238295057,North America
Japan,JPN,0.187348513,Asia
Jordan,JOR,0.000102097,Asia
Kazakhstan,KAZ,0.001327265,Asia
Kenya,KEN,0.026443196,Africa
Kiribati,KIR,0,Oceania
Kuwait,KWT,0.000714681,Asia
Latvia,LVA,0.000918876,Europe
Lebanon,LBN,0.069834541,Asia
Lesotho,LSO,0,Africa
Liberia,LBR,0.269332631,Africa
Libya,LBY,0.089743511,Africa
Lithuania,LTU,0.000714681,Europe
Macau,MFM,0.034815173,Asia
Madagascar,MDG,0.079125394,Africa
Malaysia,MYS,7.463107147,Asia
Maldives,MDV,0,Asia
Malta,MLT,0,Europe
Marshall Islands,MHL,0,Oceania
Martinique,MTQ,0.00224614,North America
Mauritania,MRT,0.012966355,Africa
Mauritius,MUS,0,Africa
